Scenario_Key,Scenario_Label,Interval_ms,Similarity_Score,Status,Threshold
model,Model,700,0.983405,Pass,0.5
model,Model,720,0.983405,Pass,0.5
model,Model,740,0.983405,Pass,0.5
model,Model,760,0.983405,Pass,0.5
model,Model,780,0.983405,Pass,0.5
model,Model,800,0.983405,Pass,0.5
model,Model,820,0.983405,Pass,0.5
model,Model,840,0.983405,Pass,0.5
model,Model,860,0.983405,Pass,0.5
model,Model,880,0.983405,Pass,0.5
model,Model,900,0.983405,Pass,0.5
model,Model,920,0.983405,Pass,0.5
model,Model,940,0.983405,Pass,0.5
model,Model,960,0.983405,Pass,0.5
model,Model,980,0.983405,Pass,0.5
model,Model,1000,0.983405,Pass,0.5

# Summary: TTSC = first interval_ms with Similarity_Score > Threshold
Scenario_Label,TTSC_ms,Threshold_Crossed
Baseline,0,yes
Model,0,yes
Constrained,0,yes
