Scenario_Key,Scenario_Label,Interval_ms,Similarity_Score,Status,Threshold
mobile-crawler,Mobile Crawler,240,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,260,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,280,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,300,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,320,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,340,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,360,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,380,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,400,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,420,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,440,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,460,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,480,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,500,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,520,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,540,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,560,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,580,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,600,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,620,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,640,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,660,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,680,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,700,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,720,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,740,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,760,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,780,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,800,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,820,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,840,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,860,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,880,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,900,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,920,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,940,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,960,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,980,0.983405,Pass,0.5
mobile-crawler,Mobile Crawler,1000,0.983405,Pass,0.5

# Summary: TTSC = first interval_ms with Similarity_Score > Threshold
Scenario_Label,TTSC_ms,Threshold_Crossed
Baseline,140,yes
Mobile Crawler,140,yes
Constrained Agent,not_reached,no
